author,year,doi,incl_author,incl_year,country,continent,region,diabetes,criteria,instrument,n_total,n_diabet,n_control,prev_diabet,prev_control,quality
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Wells et al,1989,United State of America,North America,Region of the Americas,T1DM & T2DM,Assisted by Clinician,DSM-III,1507,154,1353,0.096,0.044,Low
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Weyerer et al,1989,Germany,Europe,European Region,T2DM,Not Assisted by Clinician,CIS,447,325,122,0.273,0.005,Low
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Robinson wt al,1988,India,Asia,South-East Asian Region,T1DM & T2DM,Not Assisted by Clinician,PSE ID,260,130,130,0.085,0.085,Low
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Wing et al,1990,Not Reported,Unclassified,Unclassified,T2DM,Not Assisted by Clinician,BDI,64,32,32,0.128,0.125,Low
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Friis & Nanjundappa,1986,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,CES-D,112,56,56,0.6,0.5,Low
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Murrell et al,1983,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,CES-D,2517,179,2338,0.218,0.16,Low
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Marcus et al,1992,Not Reported,Unclassified,Unclassified,T2DM,Not Assisted by Clinician,IDD0L,66,66,,0.318,,Low
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Lustman,1986,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,DSM-III,114,114,,0.14,,Low
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Geringer et al,1988,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,ZSRDS,64,64,,0.188,,Low
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Murawski et al,1970,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,MMPI-D,112,112,,0.21,,Low
"Gavard, J. A. and Lustman, P. J. and Clouse, R. E.",1993,10.2337/diacare.16.8.1167,Slawson et al,1963,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,MMPI-D,25,25,,0.28,,Low
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00017,Amato,1996,Italy,Europe,European Region,T2DM,Not Assisted by Clinician,GDS,1339,197,1142,0.136,0.087,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00018,Eaton,1996,United State of America,North America,Region of the Americas,T2DM,Assisted by Clinician,DSM-III,1748,148,1600,0.061,0.053,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00019,Viinamaki,1995,Finland,Europe,European Region,T2DM,Not Assisted by Clinician,ZSRDS,197,82,115,0.11,0.069,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00020,Leedom,1991,Global,Unclassified,Unclassified,T2DM,Not Assisted by Clinician,BDI,117,71,46,0.493,0.217,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00021,Palinkas,1991,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI,1377,93,1284,0.115,0.046,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00022,Wing,1990,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI,64,32,32,0.218,0.125,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00023,Weyerer,1989,Germany,Europe,European Region,T2DM,Assisted by Clinician,ICD 8,177,55,122,0.273,0.106,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00024,Black,1999,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,CES-D,2832,636,2196,0.311,0.241,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00026,Rajala,1997,Finland,Europe,European Region,T1DM & T2DM,Not Assisted by Clinician,ZSRDS,542,62,480,0.193,0.117,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00027,Zhang,1991,United State of America,North America,Region of the Americas,T1DM & T2DM,Assisted by Clinician,DSM-III,1498,209,1289,0.038,0.036,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00028,Wells,1989,United State of America,North America,Region of the Americas,T1DM & T2DM,Assisted by Clinician,DSM-III,1507,154,1353,0.096,0.044,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00029,Robinson,1988,United Kingdom,Europe,European Region,T1DM & T2DM,Assisted by Clinician,PSE,260,130,130,0.085,0.085,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00030,Friis,1986,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,CES-D,112,56,56,0.607,0.482,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00031,Murrell,1983,United State of America,North America,Region of the Americas,T1DM & T2DM,Not Assisted by Clinician,CES-D,2452,175,2277,0.217,0.16,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00032,Connell,1990,Global,Unclassified,Unclassified,T2DM,Not Assisted by Clinician,ZSRDS,191,191,,0.47,,Medium
"Anderson, R. J. and Freedl and , K. E. and Clouse, R. E. and Lustman, P. J.",2001,10.1097/00006842-200107000-00033,Naliboff and Rosenthall,1989,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI,102,102,,0.235,,Medium
